,Name,Value (€)
188,Emerson Royal,18000000.0
189,Yves Bissouma,35000000.0
190,Rodrigo Bentancur,35000000.0
191,Pierre-Emile Højbjerg,18000000.0
192,Oliver Skipp,15000000.0
193,Pape Matar Sarr,45000000.0
194,James Maddison,70000000.0
195,Dejan Kulusevski,55000000.0
196,Giovani Lo Celso,16000000.0
197,Jamie Donley,1500000.0
198,Heung-min Son,45000000.0
199,Bryan Gil,14000000.0
200,Manor Solomon,13000000.0
201,Ivan Perišić,2000000.0
202,Yago Santiago,200000.0
203,Brennan Johnson,48000000.0
204,Richarlison,38000000.0
205,Timo Werner,17000000.0
206,Alejo Veliz,9000000.0
207,Dane Scarlett,1800000.0
208,André Onana,35000000.0
209,Dean Henderson,12000000.0
210,Altay Bayındır,10000000.0
211,Radek Vítek,300000.0
212,Tom Heaton,250000.0
213,Lisandro Martínez,45000000.0
214,Raphaël Varane,20000000.0
215,Harry Maguire,18000000.0
216,Victor Lindelöf,15000000.0
217,Willy Kambwala,5000000.0
218,Jonny Evans,2000000.0
219,Luke Shaw,32000000.0
220,Tyrell Malacia,18000000.0
221,Álvaro Carreras,7000000.0
222,Brandon Williams,2500000.0
223,Diogo Dalot,35000000.0
224,Aaron Wan-Bissaka,20000000.0
225,Sofyan Amrabat,22000000.0
226,Casemiro,20000000.0
227,Toby Collyer,200000.0
228,Kobbie Mainoo,50000000.0
229,Scott McTominay,32000000.0
230,Donny van de Beek,5000000.0
231,Dan Gore,900000.0
232,Bruno Fernandes,70000000.0
233,Mason Mount,35000000.0
234,Hannibal,9000000.0
235,Christian Eriksen,8000000.0
236,Marcus Rashford,60000000.0
237,Alejandro Garnacho,45000000.0
238,Jadon Sancho,30000000.0
239,Shola Shoretire,4000000.0
240,Antony,25000000.0
241,Amad Diallo,18000000.0
242,Facundo Pellistri,8000000.0
243,Omari Forson,2000000.0
244,Rasmus Højlund,65000000.0
245,Anthony Martial,10000000.0
246,Joe Hugill,200000.0
247,Nick Pope,16000000.0
248,Martin Dúbravka,1000000.0
249,Loris Karius,1000000.0
250,Mark Gillespie,300000.0
251,Sven Botman,45000000.0
252,Fabian Schär,10000000.0
253,Dan Burn,8000000.0
254,Jamaal Lascelles,7000000.0
255,Kell Watts,250000.0
256,Lewis Hall,18000000.0
257,Matt Targett,10000000.0
258,Jamal Lewis,3500000.0
259,Paul Dummett,900000.0
260,Alex Murphy,250000.0
261,Tino Livramento,35000000.0
262,Kieran Trippier,10000000.0
263,Emil Krafth,2500000.0
264,Javier Manquillo,1800000.0
265,Harrison Ashby,1200000.0
266,Sandro Tonali,38000000.0
267,Isaac Hayden,1800000.0
268,Bruno Guimarães,85000000.0
269,Joelinton,40000000.0
270,Joe Willock,30000000.0
271,Sean Longstaff,25000000.0
272,Lewis Miley,22000000.0
273,Elliot Anderson,15000000.0
274,Jeff Hendrick,500000.0
275,Lucas De Bolle,150000.0
276,Travis Hernes,150000.0
277,Matt Ritchie,1000000.0
278,Joe White,300000.0
279,Anthony Gordon,60000000.0
280,Harvey Barnes,35000000.0
281,Ryan Fraser,3000000.0
282,Amadou Diallo,400000.0
283,Miguel Almirón,20000000.0
284,Jacob Murphy,15000000.0
285,Alexander Isak,75000000.0
286,Callum Wilson,13000000.0
287,Ben Parkinson,250000.0
288,Odysseas Vlachodimos,7000000.0
289,Matz Sels,7000000.0
290,Ethan Horvath,1800000.0
291,Wayne Hennessey,250000.0
292,Murillo,35000000.0
293,Moussa Niakhaté,16000000.0
294,Andrew Omobamidele,11000000.0
295,Scott McKenna,9000000.0
296,Joe Worrall,7500000.0
297,Willy Boly,2500000.0
298,Felipe,1500000.0
299,Zach Abbott,300000.0
300,Neco Williams,17000000.0
301,Nuno Tavares,15000000.0
302,Harry Toffolo,5000000.0
303,Ola Aina,12000000.0
304,Gonzalo Montiel,10000000.0
305,Serge Aurier,3700000.0
306,Ibrahim Sangaré,30000000.0
307,Danilo,10000000.0
308,Orel Mangala,20000000.0
309,Cheikhou Kouyaté,1000000.0
310,Jamie McDonnell,200000.0
311,Nicolás Domínguez,17000000.0
312,Ryan Yates,12000000.0
313,Remo Freuler,6500000.0
314,Lewis O'Brien,5000000.0
315,Harry Arter,400000.0
316,Brandon Aguilera,300000.0
317,Morgan Gibbs-White,40000000.0
318,Giovanni Reyna,18000000.0
319,Ui-jo Hwang,1800000.0
320,Callum Hudson-Odoi,18000000.0
321,Alex Mighten,600000.0
322,Anthony Elanga,22000000.0
323,Josh Bowler,1500000.0
324,Taiwo Awoniyi,28000000.0
325,Chris Wood,7000000.0
326,Divock Origi,5000000.0
327,Emmanuel Dennis,4200000.0
328,Rodrigo Ribeiro,3000000.0
329,Joe Gardner,150000.0
330,Esapa Osong,150000.0
331,Sam Johnstone,10000000.0
332,Joe Whitworth,1000000.0
333,Remi Matthews,500000.0
334,Marc Guéhi,38000000.0
335,Joachim Andersen,35000000.0
336,Chris Richards,12000000.0
337,Nathan Ferguson,1000000.0
338,James Tomkins,700000.0
339,Seán Grehan,150000.0
340,Tyrick Mitchell,25000000.0
341,Tayo Adaramola,800000.0
342,Daniel Muñoz,18000000.0
343,Nathaniel Clyne,1500000.0
344,Joel Ward,1000000.0
345,Cheick Doucouré,35000000.0
346,Adam Wharton,30000000.0
347,Jefferson Lerma,20000000.0
348,Jaïro Riedewald,3000000.0
349,David Ozoh,700000.0
350,Kaden Rodney,200000.0
351,Will Hughes,9000000.0
352,Naouirou Ahamada,8000000.0
353,Jack Wells-Morrison,200000.0
354,Jeffrey Schlupp,7000000.0
355,Eberechi Eze,55000000.0
356,Matheus França,15000000.0
357,John-Kymani Gordon,200000.0
358,Michael Olise,55000000.0
359,Jesurun Rak-Sakyi,2000000.0
360,Malcolm Ebiowei,1500000.0
361,Franco Umeh,75000.0
362,Jean-Philippe Mateta,20000000.0
363,Odsonne Édouard,18000000.0
364,Jordan Ayew,4000000.0
365,Luke Plange,800000.0
366,Ademola Ola-Adebomi,250000.0
367,Emiliano Martínez,28000000.0
368,Joe Gauci,1500000.0
369,Robin Olsen,1500000.0
370,Filip Marschall,800000.0
371,Oliwier Zych,800000.0
372,James Wright,200000.0
373,Pau Torres,45000000.0
374,Ezri Konsa,35000000.0
375,Diego Carlos,16000000.0
376,Tyrone Mings,13000000.0
377,Clément Lenglet,10000000.0
378,Calum Chambers,4000000.0
379,Kortney Hause,2000000.0
380,Josh Feeney,500000.0
381,Álex Moreno,13000000.0
382,Lucas Digne,12000000.0
383,Sebastian Revan,350000.0
384,Finley Munroe,100000.0
385,Matty Cash,28000000.0
386,Kaine Kesler-Hayden,2200000.0
387,Boubacar Kamara,38000000.0
388,Leander Dendoncker,7000000.0
389,Douglas Luiz,70000000.0
390,Jacob Ramsey,35000000.0
391,John McGinn,30000000.0
392,Youri Tielemans,25000000.0
393,Tim Iroegbunam,4000000.0
394,Emiliano Buendía,22000000.0
395,Nicolò Zaniolo,20000000.0
396,Morgan Rogers,15000000.0
397,Philippe Coutinho,7500000.0
398,Omari Kellyman,1000000.0
399,Tommi O'Reilly,200000.0
400,Jaden Philogene,15000000.0
401,Moussa Diaby,55000000.0
402,Leon Bailey,42000000.0
403,Bertrand Traoré,9000000.0
404,Ollie Watkins,65000000.0
405,Jhon Durán,20000000.0
406,Cameron Archer,13000000.0
407,Bart Verbruggen,18000000.0
408,Jason Steele,3500000.0
409,Carl Rushworth,3000000.0
410,Tom McGill,600000.0
411,Adam Webster,20000000.0
412,Jan Paul van Hecke,18000000.0
413,Igor Julio,17000000.0
414,Lewis Dunk,12000000.0
415,Ed Turns,400000.0
416,Odeluga Offiah,300000.0
417,Ben Jackson,200000.0
418,Leigh Kavanagh,200000.0
419,Pervis Estupiñán,30000000.0
420,Imari Samuels,100000.0
421,Tariq Lamptey,12000000.0
422,Joël Veltman,10000000.0
423,Carlos Baleba,22000000.0
424,Billy Gilmour,18000000.0
425,Jack Hinshelwood,16000000.0
426,Jack Hinchy,150000.0
427,Valentín Barco,13000000.0
428,Jakub Moder,10000000.0
429,Pascal Groß,8000000.0
430,Mahmoud Dahoud,6000000.0
431,Yasin Ayari,4500000.0
432,Steven Alzate,4000000.0
