,Name,Value (€)
188,André Onana,25000000.0
189,Altay Bayındır,8000000.0
190,Tom Heaton,200000.0
191,Leny Yoro,55000000.0
192,Lisandro Martínez,40000000.0
193,Matthijs de Ligt,38000000.0
194,Harry Maguire,13000000.0
195,Victor Lindelöf,8000000.0
196,Tyler Fredricson,3000000.0
197,Jonny Evans,1000000.0
198,Patrick Dorgu,25000000.0
199,Luke Shaw,12000000.0
200,Tyrell Malacia,8000000.0
201,Harry Amass,5000000.0
202,Diogo Dalot,30000000.0
203,Noussair Mazraoui,25000000.0
204,Manuel Ugarte,45000000.0
205,Casemiro,10000000.0
206,Toby Collyer,5000000.0
207,Scott McTominay,50000000.0
208,Kobbie Mainoo,50000000.0
209,Dan Gore,800000.0
210,Bruno Fernandes,50000000.0
211,Mason Mount,28000000.0
212,Christian Eriksen,4000000.0
213,Marcus Rashford,50000000.0
214,Alejandro Garnacho,45000000.0
215,Amad Diallo,45000000.0
216,Antony,35000000.0
217,Facundo Pellistri,8000000.0
218,Rasmus Højlund,35000000.0
219,Joshua Zirkzee,30000000.0
220,Chido Obi,5000000.0
221,Nick Pope,8000000.0
222,Odysseas Vlachodimos,5000000.0
223,Martin Dúbravka,1000000.0
224,Mark Gillespie,200000.0
225,John Ruddy,150000.0
226,Sven Botman,42000000.0
227,Lloyd Kelly,16000000.0
228,Fabian Schär,7000000.0
229,Dan Burn,6000000.0
230,Jamaal Lascelles,4000000.0
231,Lewis Hall,32000000.0
232,Matt Targett,5000000.0
233,Jamal Lewis,2500000.0
234,Alex Murphy,300000.0
235,Tino Livramento,40000000.0
236,Kieran Trippier,4000000.0
237,Emil Krafth,2000000.0
238,Harrison Ashby,1400000.0
239,Sandro Tonali,60000000.0
240,Isaac Hayden,700000.0
241,Bruno Guimarães,80000000.0
242,Joelinton,35000000.0
243,Joe Willock,22000000.0
244,Lewis Miley,22000000.0
245,Sean Longstaff,20000000.0
246,Joe White,275000.0
247,Anthony Gordon,65000000.0
248,Harvey Barnes,35000000.0
249,Jacob Murphy,16000000.0
250,Miguel Almirón,10000000.0
251,Alexander Isak,120000000.0
252,Callum Wilson,8000000.0
253,William Osula,7000000.0
254,Matz Sels,7000000.0
255,Carlos Miguel,4000000.0
256,Matt Turner,2500000.0
257,Wayne Hennessey,150000.0
258,Murillo,55000000.0
259,Nikola Milenković,35000000.0
260,Morato,14000000.0
261,Andrew Omobamidele,8000000.0
262,Willy Boly,1500000.0
263,Tyler Bindon,1200000.0
264,Zach Abbott,300000.0
265,Neco Williams,20000000.0
266,Álex Moreno,7000000.0
267,Harry Toffolo,3000000.0
268,Ola Aina,22000000.0
269,Eric da Silva Moreira,1000000.0
270,Danilo,3500000.0
271,Ibrahim Sangaré,24000000.0
272,Ben Perry,150000.0
273,Elliot Anderson,32000000.0
274,Nicolás Domínguez,18000000.0
275,Ryan Yates,12000000.0
276,James Ward-Prowse,8000000.0
277,Lewis O'Brien,4000000.0
278,Morgan Gibbs-White,50000000.0
279,Callum Hudson-Odoi,25000000.0
280,Jota Silva,15000000.0
281,Ramón Sosa,12000000.0
282,Anthony Elanga,42000000.0
283,Josh Bowler,1000000.0
284,Taiwo Awoniyi,16000000.0
285,Chris Wood,10000000.0
286,Emmanuel Dennis,2500000.0
287,Dean Henderson,20000000.0
288,Sam Johnstone,6000000.0
289,Joe Whitworth,1700000.0
290,Remi Matthews,400000.0
291,Marc Guéhi,45000000.0
292,Joachim Andersen,27000000.0
293,Maxence Lacroix,25000000.0
294,Chadi Riad,15000000.0
295,Chris Richards,14000000.0
